3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
A-Fenac | Diclofenac Sodium | Suppository | 50 mg | ACME Laboratories Ltd.
A-Fenac | Diclofenac Sodium | Gel | 1% w/w | ACME Laboratories Ltd.
A-Fenac K | Diclofenac Potassium | Tablet | 50 mg | ACME Laboratories Ltd.
A-Fenac Plus | Diclofenac Sodium + Lidocaine Hydrochloride | IM Injection | (75 mg+20 mg)/2 ml | ACME Laboratories Ltd.
A-Fenac SR | Diclofenac Sodium | Tablet (Sustained Release) | 100 mg | ACME Laboratories Ltd.
A-Flox | Flucloxacillin Sodium | Capsule | 250 mg | ACME Laboratories Ltd.
A-Flox | Flucloxacillin Sodium | Capsule | 500 mg | ACME Laboratories Ltd.
A-Flox | Flucloxacillin Sodium | Powder for Suspension | 125 mg/5 ml | ACME Laboratories Ltd.
A-Flox | Flucloxacillin Sodium | IM/IV Injection | 500 mg/vial | ACME Laboratories Ltd.
A-Forte | Vitamin A | Capsule | 50000 IU | Globe Pharmaceuticals Ltd.
A-Kit | Mifepristone + Misoprostol | Tablet | 200 mg+200 mcg | ACME Laboratories Ltd.
A-Meb | Mebeverine Hydrochloride | Tablet | 135 mg | ACME Laboratories Ltd.
A-Mectin | Ivermectin (Tablet) | Tablet | 6 mg | ACME Laboratories Ltd.
A-Mectin | Ivermectin (Tablet) | Tablet | 12 mg | ACME Laboratories Ltd.
A-Migel | Miconazole Nitrate | Oral Gel | 2% w/w | ACME Laboratories Ltd.
A-Mycin | Erythromycin (Lotion) | Lotion | 3% | Aristopharma Ltd.
A-Mycin | Erythromycin (Oral) | Tablet | 250 mg | Aristopharma Ltd.
A-Mycin | Erythromycin (Oral) | Tablet | 500 mg | Aristopharma Ltd.
A-Mycin | Erythromycin (Oral) | Powder for Suspension | 125 mg/5 ml | Aristopharma Ltd.
A-Mycin | Erythromycin (Oral) | Powder for Suspension | 250 mg/5 ml | Aristopharma Ltd.
A-Mycin | Erythromycin (Oral) | Pediatric Drops | 200 mg/5 ml | Aristopharma Ltd.
A-One | Paracetamol | Oral Suspension | 120 mg/5 ml | Apex Pharmaceuticals Ltd.
A-One Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Apex Pharmaceuticals Ltd.
A-One XR | Paracetamol | Tablet (Extended Release) | 665 mg | Apex Pharmaceuticals Ltd.
A-Pak | Aceclofenac | Tablet | 100 mg | Benham Pharmaceuticals Ltd.
A-Phenicol | Chloramphenicol (Ophthalmic) | Ophthalmic Solution | 0.5% | ACME Laboratories Ltd.
A-Phenicol D | Dexamethasone + Chloramphenicol | Ophthalmic Solution | 0.1%+0.5% | ACME Laboratories Ltd.
A-Rox | Roxithromycin | Tablet | 150 mg | Ambee Pharmaceuticals Ltd.
A-Rox | Roxithromycin | Tablet | 300 mg | Ambee Pharmaceuticals Ltd.
A-Rox | Roxithromycin | Powder for Suspension | 50 mg/5 ml | Ambee Pharmaceuticals Ltd.
A-Spasm | Oxyphenonium Bromide | Tablet | 5 mg | ACME Laboratories Ltd.
A-Statin | Atorvastatin Calcium | Tablet | 10 mg | Doctor TIMS Pharmaceuticals Ltd.
A-Tetra | Tetracycline Hydrochloride (Oral) | Capsule | 500 mg | ACME Laboratories Ltd.
A-Tetra | Tetracycline Hydrochloride (Ophthalmic) | Ophthalmic Ointment | 1% | ACME Laboratories Ltd.
A-Zyme | Pancreatin | Tablet | 325 mg | ACME Laboratories Ltd.
AB Kit | Mifepristone + Misoprostol | Tablet | 200 mg+200 mcg | Renata Limited
AB-DS | Albendazole | Chewable Tablet | 400 mg | Prime Pharmaceuticals Ltd.
Abac | Cephradine | Capsule | 500 mg | Chemist Laboratories  Ltd.
Abac | Cephradine | Powder for Suspension | 125 mg/5 ml | Chemist Laboratories  Ltd.
Abac | Cephradine | Pediatric Drops | 125 mg/1.25 ml | Chemist Laboratories  Ltd.
Abaclor | Cefaclor Monohydrate | Capsule | 500 mg | ACI Limited
Abaclor | Cefaclor Monohydrate | Powder for Suspension | 125 mg/5 ml | ACI Limited
Abaclor | Cefaclor Monohydrate | Pediatric Drops | 125 mg/1.25 ml | ACI Limited
Abaclor | Cefaclor Monohydrate | Capsule | 250 mg | ACI Limited
Abacten | Azithromycin Dihydrate | Tablet | 500 mg | Arges Life Science Limited
Abacten | Azithromycin Dihydrate | Powder for Suspension | 200 mg/5 ml | Arges Life Science Limited
Abasaglar | Insulin Glargine | SC Injection | 100 IU/ml | Healthcare Pharmaceuticals Ltd.
ABC | Betacarotene + Vitamin C + Vitamin E | Tablet | 6 mg+200 mg+50 mg | Union Pharmaceuticals Ltd
Abdolax | Sodium Picosulfate | Tablet | 10 mg | Incepta Pharmaceuticals Ltd.
Abdolax | Sodium Picosulfate | Oral Solution | 5 mg/5 ml | Incepta Pharmaceuticals Ltd.
Abdorin | Dicycloverine Hydrochloride | Tablet | 10 mg | Opsonin Pharma Ltd.
Abdorin | Dicycloverine Hydrochloride | Syrup | 10 mg/5 ml | Opsonin Pharma Ltd.
Abecab | Amlodipine Besilate + Olmesartan Medoxomil | Tablet | 5 mg+20 mg | ACI Limited
Abecab | Amlodipine Besilate + Olmesartan Medoxomil | Tablet | 5 mg+40 mg | ACI Limited
Abeclib | Abemaciclib | Tablet | 200 mg | Eskayef Pharmaceuticals Ltd.
Abeclib | Abemaciclib | Tablet | 150 mg | Eskayef Pharmaceuticals Ltd.
Aben-DS | Albendazole | Chewable Tablet | 400 mg | Team Pharmaceuticals Ltd.
Abentel | Albendazole | Chewable Tablet | 400 mg | Aristopharma Ltd.
Abetis | Olmesartan Medoxomil | Tablet | 10 mg | ACI Limited
Abetis | Olmesartan Medoxomil | Tablet | 20 mg | ACI Limited
Abetis | Olmesartan Medoxomil | Tablet | 40 mg | ACI Limited
Abetis Plus | Olmesartan Medoxomil + Hydrochlorothiazide | Tablet | 20 mg+12.5 mg | ACI Limited
Abetis Plus | Olmesartan Medoxomil + Hydrochlorothiazide | Tablet | 40 mg+12.5 mg | ACI Limited
Abex | Pseudoephedrine + Guaiphenasine + Triprolidine | Syrup | (30 mg+100 mg+1.25 mg)/5 ml | Ibn Sina Pharmaceuticals Ltd.
Abicon | Sodium Alginate + Potassium Bicarbonate | Oral Suspension | (500 mg+100 mg)/5 ml | Healthcare Pharmaceuticals Ltd.
Abicon | Sodium Alginate + Potassium Bicarbonate | Chewable Tablet | 500 mg+100 mg | Healthcare Pharmaceuticals Ltd.
Abiret | Abiraterone Acetate | Tablet | 250 mg | Drug International Ltd.
Abiron | Abiraterone Acetate | Tablet | 250 mg | Ziska Pharmaceuticals Ltd.
Abixa | Memantine Hydrochloride | Tablet | 10 mg | ACI Limited
ABO Kit | Mifepristone + Misoprostol | Tablet | 200 mg+200 mcg | Globe Pharmaceuticals Ltd.
ABpres | Brimonidine Tartrate + Timolol Maleate | Ophthalmic Solution | 0.2%+0.5% | Navana Pharmaceuticals Ltd.
Absol | Salbutamol | Syrup | 2 mg/5 ml | Pharmik Laboratories Ltd.
ABZ | Albendazole | Chewable Tablet | 400 mg | Al-Madina Pharmaceuticals Ltd.
AC PR | Aceclofenac | Tablet | 100 mg | Pacific Pharmaceuticals Ltd.
Acaril | Acarbose | Tablet | 50 mg | The White Horse Pharmaceuticals Ltd.
Accolate | Zafirlukast | Tablet | 20 mg | ACI Limited
Accu Chek Active | Blood glucose monitoring device | Glucometer |  | Roche Bangladesh Ltd.
Accu Chek Instant | Blood glucose monitoring test strip | Test strip |  | Roche Bangladesh Ltd.
Accuzith | Azithromycin Dihydrate | Tablet | 500 mg | DBL Pharmaceuticals Ltd.
Accuzith | Azithromycin Dihydrate | Powder for Suspension | 200 mg/5 ml | DBL Pharmaceuticals Ltd.
Ace | Paracetamol | Tablet | 500 mg | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Oral Suspension | 120 mg/5 ml | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Pediatric Drops | 80 mg/ml | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Suppository | 125 mg | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Suppository | 250 mg | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Suppository | 500 mg | Square Pharmaceuticals Ltd.
Ace | Paracetamol | Syrup | 120 mg/5 ml | Square Pharmaceuticals Ltd.
Ace | Paracetamol (IV Infusion) | IV Infusion | 10 mg/ml | Square Pharmaceuticals Ltd.
Ace Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Square Pharmaceuticals Ltd.
Ace Power | Paracetamol | Tablet | 1000 mg | Square Pharmaceuticals Ltd.
Ace XR | Paracetamol | Tablet (Extended Release) | 665 mg | Square Pharmaceuticals Ltd.
Acebid | Aceclofenac | Tablet | 100 mg | Beacon Pharmaceuticals Ltd.
Acecard | Ramipril | Tablet | 1.25 mg | Healthcare Pharmaceuticals Ltd.
Acecard | Ramipril | Tablet | 2.5 mg | Healthcare Pharmaceuticals Ltd.
Acecard | Ramipril | Tablet | 5 mg | Healthcare Pharmaceuticals Ltd.
Aceclof | Aceclofenac | Tablet | 100 mg | Premier Pharmaceuticals Ltd.
Aceclofen | Aceclofenac | Tablet | 100 mg | Astra Biopharmaceuticals Ltd.
Aceclora | Aceclofenac | Tablet | 100 mg | Marksman Pharmaceuticals Ltd.
Acecol | Aceclofenac | Tablet | 100 mg | Ziska Pharmaceuticals Ltd.
Acedol | Aceclofenac | Tablet | 100 mg | Concord Pharmaceuticals Ltd.
Acedol SR | Aceclofenac | Tablet (Sustained Release) | 200 mg | Concord Pharmaceuticals Ltd.
Acedone-Z | Aluminium Hydroxide + Magnesium Hydroxide | Chewable Tablet | 250 mg+400 mg | Zenith Pharmaceuticals Ltd.
Acedone-Z Plus | Aluminium Hydroxide + Magnesium Hydroxide + Simethicone | Oral Suspension | (400 mg+400 mg+30 mg)/5 ml | Zenith Pharmaceuticals Ltd.
Acedone-Z Plus | Aluminium Hydroxide + Magnesium Hydroxide + Simethicone | Chewable Tablet | 400 mg+400 mg+30 mg | Zenith Pharmaceuticals Ltd.
Acefenac | Aceclofenac | Tablet | 100 mg | General Pharmaceuticals Ltd.
Aceflex | Aceclofenac | Tablet | 100 mg | Maks Drug Limited
Acefra | Cephradine | Capsule | 500 mg | Apollo Pharmaceutical Ltd.
Acefra | Cephradine | Powder for Suspension | 125 mg/5 ml | Apollo Pharmaceutical Ltd.
Acegic | Aceclofenac | Tablet | 100 mg | Belsen Pharmaceuticals Ltd.
Acelex | Cephalexin | Capsule | 250 mg | ACME Laboratories Ltd.
Acelex | Cephalexin | Capsule | 500 mg | ACME Laboratories Ltd.
Acelex | Cephalexin | Powder for Suspension | 125 mg/5 ml | ACME Laboratories Ltd.
Acelock | Aceclofenac | Tablet | 100 mg | Bristol Pharmaceuticals Ltd.
Acelon | Aceclofenac | Tablet | 100 mg | Central Pharmaceuticals Ltd.
Acemox | Acetazolamide | Tablet | 250 mg | ACME Laboratories Ltd.
Acenac | Aceclofenac | Tablet | 100 mg | Medicon Pharmaceuticals Ltd.
Acenopan | Aceclofenac | Tablet | 100 mg | RN Pharmaceuticals
Acep | Paracetamol | Tablet | 500 mg | Zenith Pharmaceuticals Ltd.
Acep | Paracetamol | Oral Suspension | 120 mg/5 ml | Zenith Pharmaceuticals Ltd.
Acep | Paracetamol | Pediatric Drops | 80 mg/ml | Zenith Pharmaceuticals Ltd.
Acep Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Zenith Pharmaceuticals Ltd.
Acepril | Lisinopril | Tablet | 5 mg | Drug International Ltd.
Acepril | Lisinopril | Tablet | 10 mg | Drug International Ltd.
Acepro | Aceclofenac | Tablet | 100 mg | The White Horse Pharmaceuticals Ltd.
Aceptin-R | Ranitidine Hydrochloride | Tablet | 150 mg | Asiatic Laboratories Ltd.
Aceril | Ramipril | Tablet | 2.5 mg | Ibn Sina Pharmaceuticals Ltd.
Aceril | Ramipril | Tablet | 5 mg | Ibn Sina Pharmaceuticals Ltd.
Acerux | Acyclovir (Injection) | IV Infusion | 250 mg/vial | Opsonin Pharma Ltd.
Acerux | Acyclovir (Injection) | IV Infusion | 500 mg/vial | Opsonin Pharma Ltd.
Acerux | Acyclovir (Oral) | Tablet | 200 mg | Opsonin Pharma Ltd.
Acerux | Acyclovir (Oral) | Tablet | 400 mg | Opsonin Pharma Ltd.
Acerux | Acyclovir (Oral) | Oral Suspension | 200 mg/5 ml | Opsonin Pharma Ltd.
Acerux | Acyclovir (Ophthalmic) | Ophthalmic Ointment | 3% | Opsonin Pharma Ltd.
Acerux | Acyclovir (Topical) | Cream | 5% w/w | Opsonin Pharma Ltd.
Acerux | Acyclovir (Oral) | Tablet | 800 mg | Opsonin Pharma Ltd.
Acerux-H | Acyclovir + Hydrocortisone | Cream | 5%+1% | Opsonin Pharma Ltd.
Aces Plus | Super antioxidant [vitamins & minerals] | Tablet |  | Ambee Pharmaceuticals Ltd.
Aceta | Paracetamol | Tablet | 500 mg | Biopharma Laboratories Ltd.
Aceta | Paracetamol | Oral Suspension | 120 mg/5 ml | Biopharma Laboratories Ltd.
Aceta Extend | Paracetamol | Tablet (Extended Release) | 665 mg | Biopharma Laboratories Ltd.
Aceta One | Paracetamol | Tablet | 1000 mg | Biopharma Laboratories Ltd.
Aceta-PD | Paracetamol | Pediatric Drops | 80 mg/ml | Biopharma Laboratories Ltd.
Aceta-T | Paracetamol + Tramadol Hydrochloride | Tablet | 325 mg+37.5 mg | Biopharma Laboratories Ltd.
Aceta-X | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Biopharma Laboratories Ltd.
Aceten | Acetylcysteine | Effervescent Tablet | 600 mg | Eskayef Pharmaceuticals Ltd.
Aceten | Acetylcysteine | Effervescent Granules | 100 mg/sachet | Eskayef Pharmaceuticals Ltd.
Aceto | Paracetamol | Tablet | 500 mg | Reliance Pharmaceuticals Ltd.
Acetor | Captopril | Tablet | 25 mg | Drug International Ltd.
Acetram | Paracetamol + Tramadol Hydrochloride | Tablet | 325 mg+37.5 mg | Square Pharmaceuticals Ltd.
ACF | Aceclofenac | Tablet | 100 mg | Decent Pharma Laboratories Ltd.
Acflam | Aceclofenac | Tablet | 100 mg | Apollo Pharmaceutical Ltd.
Achnil | Tolfenamic acid | Tablet | 200 mg | Desh Pharmaceuticals Ltd.
ACI ORS | Oral rehydration salt [glucose based] | Oral Powder | 10.25 gm | ACI Limited
ACI ORS Fruity | Oral rehydration salt [flavore & glucose based] | Oral Powder | 13.47 gm/sachet | ACI Limited
Acicaft | Alcaftadine | Ophthalmic Solution | 0.25% | ACI Limited
Acical | Calcium Carbonate [Elemental source] | Tablet | 500 mg | ACI Limited
Acical JR | Calcium Carbonate [Elemental source] | Chewable Tablet | 250 mg | ACI Limited
Acical-C | Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C | Effervescent Tablet | 1000 mg+327 mg+500 mg | ACI Limited
Acical-D | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+200 IU | ACI Limited
Acical-DX | Calcium Carbonate [Elemental source] + Vitamin D3 | Effervescent Tablet | 600 mg+400 IU | ACI Limited
Acical-M | Calcium Carbonate + Vitamin D3 + Multimineral | Tablet |  | ACI Limited
Acical-MX | Calcium Carbonate + Vitamin D3 + Multimineral | Effervescent Tablet |  | ACI Limited
Aciclon | Acyclovir (Ophthalmic) | Ophthalmic Ointment | 3% | Reman Drug Laboratories Ltd.
Acicot | Dexamethasone (Ophthalmic) | Ophthalmic Solution | 0.1% | ACI Limited
Acidron | Zoledronic Acid [For hypercalcemia] | IV Infusion | 4 mg/5 ml | ACI Limited
Acidrox M | Magaldrate | Chewable Tablet | 400 mg | Syntho Laboratories Ltd.
Acifix | Rabeprazole Sodium | Capsule (Delayed Release) | 20 mg | Beximco Pharmaceuticals Ltd.
Acifix | Rabeprazole Sodium | Tablet (Enteric Coated) | 20 mg | Beximco Pharmaceuticals Ltd.
Aciflox | Sparfloxacin | Tablet | 200 mg | ACI Limited
Acilog | Insulin Aspart [Protamine Crystallised] | SC Injection | 100 IU/ml | ACI Limited
Acilog Mix | Biphasic Insulin Aspart | SC Injection | 30%+70% | ACI Limited
Acin | Ranitidine Hydrochloride | Tablet | 150 mg | Biopharma Laboratories Ltd.
Acin | Ranitidine Hydrochloride | Syrup | 75 mg/5 ml | Biopharma Laboratories Ltd.
Acipam | Escitalopram Oxalate | Tablet | 5 mg | Ibn Sina Pharmaceuticals Ltd.
Acipam | Escitalopram Oxalate | Tablet | 10 mg | Ibn Sina Pharmaceuticals Ltd.
Aciphin | Ceftriaxone Sodium | IM Injection | 250 mg/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IM Injection | 500 mg/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IM Injection | 1 gm/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IV Injection | 250 mg/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IV Injection | 500 mg/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IV Injection | 1 gm/vial | ACI Limited
Aciphin | Ceftriaxone Sodium | IV Injection | 2 gm/vial | ACI Limited
Acipra | Rabeprazole Sodium | Capsule (Delayed Release) | 20 mg | Alco Pharma Ltd.
Acitrin | Cetirizine Hydrochloride | Tablet | 10 mg | ACI Limited
Acitrin | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | ACI Limited
Acitrin | Cetirizine Hydrochloride | Pediatric Drops | 2.5 mg/ml | ACI Limited
Acitrin-L | Levocetirizine Dihydrochloride | Tablet | 5 mg | ACI Limited
Acitrin-L | Levocetirizine Dihydrochloride | Oral Solution | 2.5 mg/5 ml | ACI Limited
Aclasta | Zoledronic Acid [For osteoporosis] | IV Infusion | 5 mg/100 ml | SANDOZ (A Novartis Division)
Aclene | Adapalene | Cream | 0.1% | Drug International Ltd.
Aclene Plus | Adapalene + Benzoyl peroxide | Gel | 0.1%+2.5% | Drug International Ltd.
Aclitol | Aclidinium Bromide + Formoterol Fumarate | Inhalation Capsule | 400 mcg+12 mcg | Square Pharmaceuticals Ltd.
Acliz | Meclizine Hydrochloride | Chewable Tablet | 50 mg | Aristopharma Ltd.
Acliz Plus | Meclizine + Pyridoxine | Tablet | 25 mg+50 mg | Aristopharma Ltd.
Aclo | Aceclofenac | Tablet | 100 mg | Alco Pharma Ltd.
Aclobet | Clobetasol Propionate | Cream | 0.05% | ACME Laboratories Ltd.
Aclobet | Clobetasol Propionate | Ointment | 0.05% | ACME Laboratories Ltd.
Aclobet-N | Clobetasol Propionate + Neomycin Sulphate + Nystatin | Cream | (0.5 mg+5 mg+1 Lac IU)/gm | ACME Laboratories Ltd.
Aclobet-N | Clobetasol Propionate + Neomycin Sulphate + Nystatin | Ointment | (0.5 mg+5 mg+1 Lac IU)/gm | ACME Laboratories Ltd.
Aclonac | Aceclofenac | Tablet | 100 mg | Pharmasia Limited
Aclopain | Aceclofenac | Tablet | 100 mg | Jenphar Bangladesh Ltd.
Aclosol | Clobetasol Propionate | Cream | 0.05% | Ad-din Pharmaceuticals Ltd.
Aclovix | Aceclofenac | Tablet | 100 mg | Aexim Pharmaceuticals Ltd.
Acme's Dextrose | Dextrose | IV Infusion | 5% | ACME Laboratories Ltd.
Acme's Dextrose DS | Dextrose | IV Infusion | 10% | ACME Laboratories Ltd.
Acme's DNS | Sodium Chloride + Dextrose | IV Infusion | 0.9%+5% | ACME Laboratories Ltd.
Acme's Mannitol | Mannitol | IV Infusion | 20% | ACME Laboratories Ltd.
Acme's Milk of Magnesia | Magnesium Hydroxide | Oral Suspension | 400 mg/5 ml | ACME Laboratories Ltd.
Acme's ORS | Oral rehydration salt [glucose based] | Oral Powder | 10.25 gm | ACME Laboratories Ltd.
Acmecilin | Ampicillin Sodium | Oral Suspension | 125 mg/5 ml | ACME Laboratories Ltd.
Acmecilin | Ampicillin Sodium | Capsule | 250 mg | ACME Laboratories Ltd.
Acmecilin | Ampicillin Sodium | Injection | 250 mg/vial | ACME Laboratories Ltd.
Acmecilin | Ampicillin Sodium | Injection | 500 mg/vial | ACME Laboratories Ltd.
Acmegra | Sildenafil Citrate | Tablet | 25 mg | ACME Laboratories Ltd.
Acmegra | Sildenafil Citrate | Tablet | 50 mg | ACME Laboratories Ltd.
Acmegra | Sildenafil Citrate | Tablet | 100 mg | ACME Laboratories Ltd.
ACN | Aceclofenac | Tablet | 100 mg | Modern Pharmaceuticals Ltd.
Acnegel | Adapalene + Benzoyl peroxide | Gel | 0.1%+2.5% | ACME Laboratories Ltd.
Acnesone | Dapsone | Gel | 7.5% | Incepta Pharmaceuticals Ltd.
Acora | Ticagrelor | Tablet | 90 mg | ACI Limited
Acorex | Ambroxol Hydrochloride | Syrup | 15 mg/5 ml | Apex Pharmaceuticals Ltd.
Acos | Azithromycin Dihydrate | Tablet | 500 mg | Radiant Pharmaceuticals Ltd.
Acos | Azithromycin Dihydrate | Powder for Suspension | 200 mg/5 ml | Radiant Pharmaceuticals Ltd.
Acos | Azithromycin Dihydrate | Tablet | 250 mg | Radiant Pharmaceuticals Ltd.
Acryth | Erythromycin (Oral) | Powder for Suspension | 125 mg/5 ml | Monicopharma Ltd.
Act | Paracetamol | Tablet | 500 mg | Ambee Pharmaceuticals Ltd.
Act | Paracetamol | Oral Suspension | 120 mg/5 ml | Ambee Pharmaceuticals Ltd.
Act | Paracetamol | Pediatric Drops | 80 mg/ml | Ambee Pharmaceuticals Ltd.
Act Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Ambee Pharmaceuticals Ltd.
Actemra | Tocilizumab | IV Infusion | 80 mg/4 ml | Roche Bangladesh Ltd.
Actemra | Tocilizumab | IV Infusion | 200 mg/10 ml | Roche Bangladesh Ltd.
Actemra | Tocilizumab | SC Injection | 162 mg/0.9 ml | Roche Bangladesh Ltd.
Actemra | Tocilizumab | IV Infusion | 400 mg/20 ml | Roche Bangladesh Ltd.
Actidex | Dexketoprofen | Tablet | 25 mg | Incepta Pharmaceuticals Ltd.
Actifast | Ketorolac Tromethamine | Tablet | 10 mg | Social Marketing Company
Actilac | Lactulose | Oral Solution | 3.35 gm/5 ml | Healthcare Pharmaceuticals Ltd.
Actilyse | Alteplase | IV Infusion | 1 mg/1 ml | Radiant Pharmaceuticals Ltd.
ActiMom | 10 Vitamin & 6 Mineral [Pregnancy and Breast Feeding Formula] | Tablet |  | Nuvista Pharma Ltd.
Actisal | Levosalbutamol (Oral) | Tablet | 2 mg | Silva Pharmaceuticals Ltd.
Actisal | Levosalbutamol (Oral) | Syrup | 1 mg/5 ml | Silva Pharmaceuticals Ltd.
Activa | Sildenafil Citrate | Tablet | 50 mg | Pacific Pharmaceuticals Ltd.
Activa | Sildenafil Citrate | Tablet | 100 mg | Pacific Pharmaceuticals Ltd.
Active Plus | Betacarotene + Vitamin C + Vitamin E | Tablet | 6 mg+200 mg+50 mg | The White Horse Pharmaceuticals Ltd.
Activit Gold | Multivitamin & Multimineral [A-Z gold preparation] | Tablet |  | Delta Pharma Ltd.
Activit Silver | Multivitamin & Multimineral [A-Z silver preparation] | Tablet |  | Delta Pharma Ltd.
Activit Z | Vitamin B Complex + Zinc | Syrup |  | Delta Pharma Ltd.
Activit ZI | Iron Polymaltose Complex + Vitamin B Complex + Zinc | Syrup |  | Delta Pharma Ltd.
Actizen | Cetirizine Hydrochloride | Tablet | 10 mg | Ambee Pharmaceuticals Ltd.
Actizen | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Ambee Pharmaceuticals Ltd.
Actol | Paracetamol | Oral Suspension | 120 mg/5 ml | Somatec Pharmaceuticals Ltd.
Actolin | Salbutamol | Syrup | 2 mg/5 ml | Globe Pharmaceuticals Ltd.
Actolin | Salbutamol | Tablet | 4 mg | Globe Pharmaceuticals Ltd.
ActoMeg | Pioglitazone + Metformin Hydrochloride | Tablet | 15 mg+500 mg | UniMed UniHealth Pharmaceuticals Ltd.
ActoMeg | Pioglitazone + Metformin Hydrochloride | Tablet | 15 mg+850 mg | UniMed UniHealth Pharmaceuticals Ltd.
Actose | Pioglitazone | Tablet | 15 mg | UniMed UniHealth Pharmaceuticals Ltd.
Actose | Pioglitazone | Tablet | 30 mg | UniMed UniHealth Pharmaceuticals Ltd.
Actrapid | Insulin Human [rDNA] | SC Injection | 100 IU/ml | Novo Nordisk Pharma (Pvt.) Ltd
